Product Name,Current Price,Reviewer,Rating,Comment,Time Used
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Chị Huệ,5,Rất tốt,Đã dùng khoảng 1 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Lê Quang Hiển,5,,Đã dùng khoảng 1 tháng
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Anh Long,4,,Đã dùng khoảng 1 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,TRAN THI MAUkl,3,,Đã dùng khoảng 3 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Mến,4,,Đã dùng khoảng 1 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Vàng Thị Hơn,5,,Đã dùng khoảng 3 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Khánh,5,,Đã dùng khoảng 1 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Huỳnh Thị Ngọc My,5,,Đã dùng khoảng 1 tuần
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Nguyễn Văn Bảo,3,"Pin yếu, máy mới nhưng pin chỉ được gần 2 tiếng",Đã dùng khoảng 1 tuần
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Trí,2,"Mua hôm thứ 6 ngồi kiểm tra tới lui, giờ mới phát hiện tay đổ mồ hôi chạm vô vỏ nó tê tê, dùng bút thử điện chạm vào thì nó sáng đèn, giờ không biết có bảo hành hay không",Đã dùng khoảng 3 ngày
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Cách,5,Oke,Đã dùng khoảng 1 tuần
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Nguyễn Thị Liên,5,Rất tốt,Đã dùng khoảng 1 tháng
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Lộc Nam Hùng,5,Sản phẩm sử dụng rất tốt.,Đã dùng khoảng 1 tuần
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Nguyễn Thị Quyên,5,"Nhân viên tư vấn nhiệt tình, sản phẩm đẹp và ưng ý🥰",Đã dùng khoảng 1 tuần
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Chú Tuấn,5,rất hài lòng với sản phẩm,Đã dùng khoảng 1 tuần
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,An nhiên,5,Rất tốt,Đã dùng khoảng 1 tuần
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Anh Ân,5,"Đã mua sử dụng rất mạnh mẽ, core i7 gen 12 màn 15,6 full kim loại. Con này nằm trong top rẻ nhất so với cấu hình.",Đã dùng khoảng 4 ngày
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,TOẢN,5,ok,Đã dùng khoảng 1 ngày
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Lưu Minh Đức,4,Tốt,Đã dùng khoảng 3 ngày
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Ngô Xuân Nguyên,5,Good,Đã dùng khoảng 1 tuần
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Trung,4,Sản phẩm HP ổn định,Đã dùng khoảng 1 tuần
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Trần Thị Hằng,5,,Đã dùng khoảng 3 tháng
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,CÔNG TY TNHH CHÂU MINH HOÀNG,5,,Đã dùng khoảng 4 tuần
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Ngô Thị Hồng Chấm,4,,Đã dùng khoảng 3 ngày
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),20.990.000₫,Bình,5,,Đã dùng khoảng 3 ngày
N/A,N/A,Em Mi,3,Có bảo hành cục sạc khi mua laptop không ạ,Đã dùng khoảng 2 tháng
N/A,N/A,Chị Liên,4,Nhìn chung tôi dùng thấy ổn. Chỉ có loa nghe hơi nhỏ,Đã dùng khoảng 4 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,TRẦN TIẾU HẰNG,5,tốt,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Trường,1,"Máy rất hay lác, bật máy mà hình đen thui mặc dù mới sài được tuần, chờ 6-7 phút pmáy chưa tắt dù đã cập nhập hết phần mềm. Restart máy nửa tiếng chưa xong.",Đã dùng khoảng 7 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Chị Hà,4,"Máy chạy êm, nhanh, pin dùng lâu nha.",Đã dùng khoảng 2 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Không giới thiệu,1,"Laptop mới mua được 9 ngày, mỗi ngày dùng 30p  1 tiếng, đèn báo sáng mà màn hình đen thui. Sản phẩm này không xứng đáng với cái sao nào cả.",Đã dùng khoảng 1 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Nguyễn Thị Hương,3,may nhanh het pin hoi lag ti,Đã dùng khoảng 1 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Chị Như,3,Máy mình mua được 10 tháng mà dễ bị đứng máy lắm,Đã dùng khoảng 8 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Nguyễn Thừa Chí,5,Sài ok lắm,Đã dùng khoảng 3 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Anh,5,tốt,Đã dùng khoảng 2 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Tạ Trung Nhật,3,Máy này có nhận diện khuôn mặt không,Đã dùng khoảng 4 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Nguyễn Thị Bích Hà,4,"Chị xài máy được hơn hai tuần rồi và thấy rất okay, máy chạy êm, chị hai lòng với sản phẩm này.",Đã dùng khoảng 1 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Phan Văn Lâm,5,Sản phẩm tốt,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Hoàng Xuân Tùng,5,"Sản phẩm tốt nha mn, bạn nào xài đa tách vụ cùng lúc là hợp lắm",Đã dùng khoảng 1 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,LÊ TUẤN SƠN,5,Rất ok.,Đã dùng khoảng 3 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Lê Nguyễn Nhật Phin,3,Giúp em với ạ. Máy mua được 1 tuần thì lại mở máy kh lên.,Đã dùng khoảng 7 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,a tuân,4,"Màn hình đẹp, xài tác vụ cơ bản ok, game nhẹ nhàng, ram 16gb + ssd 512gb là 2 điểm cộng lớn cho 1 con laptop gần 13tr, chip ryzen 5 7520U hơi yếu thôi. Nói chung là 8/10 ạ",Đã dùng khoảng 1 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Anh Cường,3,vào face book trên cốc cốc xem video một tí là bị đơ máy . có bị như mình không,Đã dùng khoảng 4 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Huy,5,"sản phẩm xài rất tốt , nhân viên tư vấn cũng nhiệt tình",Đã dùng khoảng 2 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Mẫn,5,Tốt,Đã dùng khoảng 1 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,NGUYEN THI THANH BACH,1,Máy mới mua có 5ngay chỉ coi phim này 1h mà nay mở máy đèn thì sáng mà màn hình kh lên,Đã dùng khoảng 4 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Đỗ Thị Hòa Bình,4,"Máy chạy mượt, nhanh, đẹp. Chỉ mất điểm là máy nhanh hết pin và nhanh bị nóng máy.",Đã dùng khoảng 1 tuần
Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W),14.590.000₫,Vi Nguyệt Hằng,1,"Sản phẩm quá tệ, khách hỏi mua sp từ 1518tr thì giới thiệu loại này. Mua về dùng đc 20 ngày thì giật lag, chuột bàn phím tự di chuyển, tự nháy tự giật. Ra cửa hàng thì nv bảo do ph mềm chạy lại ph mềm đem ề dùng thử r hãng mang ra đổi mua từ 12/8 đến tầm 20/8 thấy giật lag, do mưa bão k thể đem đi bảo hành đc. Hôm nay là 17/9 giật lag điên k làm nổi bài tập. Hôm 12/8 nv vừa khắc phục lỗi đc 2 hôm, dùng thấy vẫn bth nhắn hỏi xem có nên đổi luôn k thì bảo k phải do phần cứng đâu, hôm sau lại giật lag giờ hết hạn đổi rồi còn đâu, mà mình nghĩ loại này dởm cái nào cũng như thế. 14 triệu chứ ít à Bán hàng không có tâm coi tiền bạc của ng khác là cỏ rác à, không thể chịu nổi. Mà giờ đọc thấy 1 đánh giá bên dưới cũng bị y chang vậy, mình dùng qua vài loại laptop rồi cả loại có 8 triệu cũng k bị giật lag như thế này đâu. Kêu do phần mềm Mà trong khi đó chưa tự tải một cái gì, chỉ dùng tác vụ cơ bản.",Đã dùng khoảng 1 tháng
Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W),14.590.000₫,Ngo Hang,3,Dùng 3 tháng. Bị lỗi hư phần cứng. H nhân viên nói bị lỗi hư phần cứng. Phải gửi về hãng sửa. Mọi ng mua máy trong tháng đầu dùng hết chức năng của máy. Đừng để giống tôi. K dùng chuột lap. Dùng chuột rời. H mới phát hiện thì muộn rồi. Gửi về hãng thì k có máy dùng. K gửi thì tự mình chịu máy bị hư,Đã dùng khoảng 3 tháng
Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W),14.590.000₫,Trần Vũ Phong,1,"Tệ, một trải nghiệm cực kì tệ",Đã dùng khoảng 1 tháng
Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W),14.590.000₫,Nam,5,"Dùng ổn, pin cũng được khoảng gần 4 tiếng. Nếu chỉ dùng văn phòng thì chạy mượt các tác vụ.",Đã dùng khoảng 1 tuần
Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W),16.990.000₫,Duy,5,quá ok,Đã dùng khoảng 3 ngày
Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W),16.990.000₫,Quý,4,"Màn hình rất đẹp và nét ,120hz rất mượt, máy khởi động nhanh, lo hơi nhỏ, touchpad rộng dùng rất ưng thao tác dễ dàng, cấu hình ổn khởi động nhanh, khá nhẹ và mỏng dễ dàng mang đi",Đã dùng khoảng 2 tuần
Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W),16.990.000₫,Tiến,4,Dùng tương đối ổn,Đã dùng khoảng 3 ngày
Laptop Asus TUF Gaming A15 FA506NF R5 7535HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (HN012W),16.990.000₫,Nguyễn Đức Anh,5,Mình muốn nâng ổ SSD thì làm như nào ạ,Đã dùng khoảng 1 tuần
Laptop Asus TUF Gaming A15 FA506NF R5 7535HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (HN012W),16.990.000₫,Em Tới,5,Sản phẩm rất tốt,Đã dùng khoảng 1 tuần
Laptop Asus TUF Gaming A15 FA506NF R5 7535HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (HN012W),16.990.000₫,Hồ Mậu Thương,4,,Đã dùng khoảng 1 tuần
N/A,N/A,Trần Viết Dũng,5,Máy đẹp dùng rất tốt,Đã dùng khoảng 1 tháng
N/A,N/A,Nguyễn Tấn Triệu,1,Tôi mua hiệu máy này được 4 tháng nhưng sự dụng 2 tháng thì đã hư phần cảm ứng và đã đi bảo hành. Nhưng về sử dụng tâm từ một đến hai giờ đồng hồ là cảm ứng bị đơ đi chuyển không phuong hướng. Mong cửa hàng và hãng có biện Pháp khắc phục cho khách hàng.,Đã dùng khoảng 3 tháng
Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),10.290.000₫,Dungthu,3,Ổn nhưng pin yếu quá,Đã dùng khoảng 4 tháng
Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),10.290.000₫,Nguyễn Chí Nguyện,5,Ổn,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),10.290.000₫,Nguyễn Hữu Hưng,4,Ok,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),10.290.000₫,Phan Tấn Duy,5,"Máy chạy nhanh, mượt, cảm biến vân tay tiện dụng, nhất là vói Windows 11, nói chung sử dụng văn phòng, game nhẹ, lướt web tốt. Đáng mua",Đã dùng khoảng 2 tháng
Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),10.290.000₫,Giang,1,Máy mới mua về chưa sài gì nhiều thì chuột giật chạy lung tung tắt máy mở lên vẫn vậy đem ra kiểm tra nhân viên bảo máy tầm trung nên nó như vậy chịu khó sài nói thế chịu luôn,Đã dùng khoảng 2 tuần
Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),10.290.000₫,TRỊNH THỊ PHƯƠNG THÚY,2,Máy mua đc 1 tuần lỗi ghi âm rè lúc đc lúc ko. Mang máy qua bảo hành gọi tổng đài thì trả lời hời hợt báo lỗi win mà win bản quyền.,Đã dùng khoảng 2 tuần
Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),10.290.000₫,Công Ty TNHH May Vạn Hà,5,Ok,Đã dùng khoảng 2 tuần
Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),10.290.000₫,Em Ánh,3,"Mua máy được 2 tuần nhưng toughpad hay bị lỗi, máy mở mật khẩu xong đen thui",Đã dùng khoảng 2 tuần
Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),10.290.000₫,Nguyễn Thị Gấm,5,,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),10.290.000₫,Anh Buol,4,,Đã dùng khoảng 1 tuần
N/A,N/A,Anh là N,5,"Asus quá tuyệt vời.Đẹp, mạnh mẽ, nam tính. Máy êm mượt với game cấu hình nặng Fifa online, vv.. Trong tầm tài chính phục vụ giải trí thì Ae nên mua. Ae mua thêm chuột + bàn phím asus là chuẩn bộ nhé .Store 1521 huỳnh tấn phát q7, Good job",Đã dùng khoảng 5 ngày
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Nam,3,Bên mình cho em hỏi là đang trong thời gian bảo hành thì mình có được thay mới bộ sạc đi kèm máy khi mà bộ sạc cũ đã hỏng không ạ,Đã dùng khoảng 1 năm
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Tuyền,4,Tốt,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Anh Cảnh,3,mua dc 2 tuần thi máy bị lỗi cảm ứng chuột và đã dc đổi mới,Đã dùng khoảng 2 tuần
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Anh Lâm,5,Okie,Đã dùng khoảng 2 tuần
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Hoàng Diệu Thùy,3,"mua được hơn 2 tháng, không hiểu sao không cài được gõ tiếng trung",Đã dùng khoảng 2 tháng
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Lâm Mỹ Phụng,1,"Phát hiện ra máy bị lỗi đem tới cửa hàng gửi 8 ngày báo máy k bị gì hết ,đem về sử dụng vẫn bị lỗi",Đã dùng khoảng 1 tháng
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Trần Thị Vân Ngọc,3,Tôi không nhập được bàn phím số trên khi để tiếng việt,Đã dùng khoảng 6 ngày
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Nguyễn Giang Lam,4,sạc nhanh đẹp 10đ,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Lê Thành Bảo,5,Máy chạy rất mượt và thích hợp cho nhiều mục đích,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Hue,4,Mới thì dùng ok để dùng thêm 1 thời gian xem thê nào.,Đã dùng khoảng 4 ngày
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Võ Hoàng Phi,5,"Máy sử dụng rất ok.
Quản lý và nhân viên rất thân thiện, dể thương",Đã dùng khoảng 3 ngày
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Nguyễn Thành Công,5,"máy tính đẹp, sài cũng tốt, nói chung là OK. khuyến khích cho 5 sao",Đã dùng khoảng 2 ngày
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,An,4,Máy màu đẹp xài ổn so với tầm giá,Đã dùng khoảng 2 ngày
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,QUỲNH NHƯ,5,Sài rất tốt ạ,Đã dùng khoảng 2 ngày
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Đinh Ngọc Cẩm Tú,4,,Đã dùng khoảng 1 tháng
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Trần Hữu Thêm,4,,Đã dùng khoảng 2 tuần
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Vũ Thị Ngọc Bích,3,,Đã dùng khoảng 1 tháng
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Lục Thu Trang,5,,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),13.990.000₫,Trang,4,,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/Chuột/Win11 (L1341W),17.490.000₫,Duyên,2,"Em xem mô tả và nghe cả nv tư vấn là chạy photoshop được mà về dùng pts cứ bị đứng, xong 1 hồi out luôn app dù em thường xuyên dọn rác và còn tắt các cửa số k liên quan khác rồi mà vẫn bị. Buồn thực sự",Đã dùng khoảng 3 tháng
Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/Chuột/Win11 (L1341W),17.490.000₫,Chuyên,4,"Máy dùng khá là ok, màn hình đẹp.Chỉ tệ cái là chỉ cài được win 11 nên nhiều lỗi vặt từ hệ điều hành.Win 10 hết cho cài rồi.",Đã dùng khoảng 1 tuần
Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/Chuột/Win11 (L1341W),17.490.000₫,Tuyên,5,"Đã mua em này, đổi từ macbook m1 qua, sài thấy màn hình đẹp nét, cấu hình mạnh .",Đã dùng khoảng 1 ngày
